Gene,logFC,PValue,FDR,cKO_1,cKO_2,cKO_3,cKO_4,cKO_5,FL_1,FL_2,FL_3,FL_4
Dapk1,0.861257006,NA,NA,8.455220319,8.299491386,8.527614975,8.362345247,8.060079891,7.762483416,7.62340767,7.690542438,7.059884491
Plxna1,0.858761348,1.08E-07,1.73E-05,10.45422997,10.14087597,10.07072435,10.10970193,9.719791609,9.380594965,9.167067888,9.321370346,8.536844409
Hus1,0.852802069,7.05E-14,6.85E-11,10.750687,10.74281952,10.80177937,10.7671216,10.50340017,10.00454886,9.880063166,9.929082072,9.507769438
Cdcp1,0.851777793,1.19E-05,7.77E-04,6.926713771,6.804942959,6.549548142,6.831912445,6.48599996,6.372486226,6.2176536,6.174293099,6.108906869
Ccne1,0.841710284,1.30E-17,2.22E-14,12.77929025,12.92336995,12.78526181,12.83222916,12.96324392,12.15663285,11.75770081,11.83602199,12.09272066
H2-Ob,0.840534131,7.28E-13,4.95E-10,8.004687603,8.153127535,8.198210911,8.130220267,8.154739885,7.547834836,7.546207814,7.51321739,7.420658492
Cacna1b,0.830923429,2.09E-05,0.001183024,6.790798327,6.447196809,6.262349823,6.531550318,6.505718567,6.171315241,6.00750937,5.976399088,5.929584598
Cd109,0.828901424,4.36E-06,3.39E-04,7.103512572,7.117946684,7.285123193,7.014142753,7.022644581,6.444593076,6.724981432,6.758448277,6.358419267
Tmem108,0.828258742,2.90E-06,2.48E-04,7.227760731,7.069400969,7.438643117,7.076997954,7.022644581,6.753156326,6.466627394,6.707528708,6.645420203
Slc6a8,0.824367685,3.73E-08,6.76E-06,7.266463835,7.294364196,7.354635073,7.368397667,7.347223236,6.891879941,6.724981432,6.83805573,6.849773816
Card10,0.82432637,2.53E-05,0.001362867,6.667555207,6.534821164,6.589210322,6.44418066,6.35682388,6.171315241,5.913474195,6.139823135,6.069543045
5830418P13Rik,0.813327821,NA,NA,8.083180822,7.781933949,7.903777848,7.896014144,7.721813727,7.580753272,6.756802741,6.954181523,7.192535439
Scn1b,0.812354469,1.70E-08,3.39E-06,7.435280798,7.510385941,7.49168635,7.579952158,7.688198178,7.052907531,6.91626114,7.020990772,7.059884491
Art4,0.811135085,2.33E-07,3.24E-05,7.476160175,7.475383249,7.517400332,7.596097348,7.866313397,6.906231944,7.14673845,7.059258996,6.994160047
Map3k9,0.809192843,4.20E-06,3.30E-04,7.349301949,7.344611767,7.254080676,7.258034291,7.574421264,6.934380685,7.006711937,6.57725826,6.606836837
Cacna1c,0.808637247,NA,NA,7.697348231,7.883115931,7.638777075,8.228804409,7.701747735,7.113786289,7.429666801,7.20083499,6.909838148
Caskin2,0.803298039,4.14E-13,2.96E-10,9.166052948,9.049120434,8.974873671,9.237545144,9.124847197,8.518119454,8.292938252,8.524076005,8.243955561
Zak,0.801573379,4.09E-10,1.29E-07,9.144753957,8.941134914,8.936302411,8.924159224,8.674538072,8.381400428,8.251272786,8.188142437,8.005282538
Sulf2,0.797624698,3.36E-06,2.74E-04,9.707082644,9.442084336,9.34857707,9.182689103,8.834170205,8.909904442,8.246564797,8.331464858,8.143581152
Matn1,0.795921977,4.74E-05,0.002234623,6.467013222,6.266721519,6.418601055,6.420857192,6.379834956,5.86603239,6.00750937,6.103279532,5.929584598
Glis3,0.795369902,3.61E-05,0.001802773,7.047583648,6.772912657,6.828769753,7.148171395,6.831839427,6.136990458,6.658112058,6.425268945,6.331640244
Zcchc3,0.791301167,1.97E-10,6.54E-08,8.785924104,8.622827786,8.80728759,8.890218782,8.684445228,8.199379051,8.065358955,7.80590845,8.202581189
Zcchc3,0.791301167,1.97E-10,6.54E-08,8.785924104,8.622827786,8.80728759,8.890218782,8.684445228,8.199379051,8.065358955,7.80590845,8.202581189
Spock2,0.788059993,4.52E-09,1.10E-06,9.004547269,8.660311321,9.020951213,8.776473353,8.501976629,8.13115588,8.188778626,8.068499245,8.017358964
Zfp92,0.787942864,5.43E-05,0.002455138,6.357891984,6.266721519,6.508060812,6.372103064,6.423952741,5.974264508,6.121934527,5.86769505,5.871189572
Mgarp,0.782667545,4.58E-05,0.002187297,7.977482166,7.484224582,8.141003865,7.299323384,7.311125631,6.891879941,6.658112058,7.007943005,7.192535439
Rgs11,0.780823857,3.99E-06,3.18E-04,9.589771277,9.365381441,9.534154752,8.756021128,8.657869647,8.385882171,8.315554988,8.382170939,8.447357469
Trpm2,0.779004005,6.90E-05,0.002961591,6.860920397,6.469953017,6.64569898,6.396850185,6.729584426,6.100601603,6.327209153,6.174293099,6.027133166
Ak1,0.774903818,2.99E-06,2.50E-04,9.859597874,9.496514286,9.729818082,9.28801073,9.418110591,9.086480839,8.315554988,8.34547836,8.930393395
Tsku,0.773563906,7.82E-05,0.003276845,6.667555207,6.513728185,6.858814022,6.420857192,6.40219548,6.264583821,6.121934527,6.103279532,5.980885137
Ppp1r3b,0.768018201,3.69E-05,0.001836293,9.17308245,8.922822974,9.216559594,8.362345247,8.100738007,8.283780166,7.85000161,7.727688556,7.774286542
Fam109b,0.766830212,6.15E-05,0.002702114,7.036063651,6.756515251,7.232935418,6.752624233,6.974904198,6.630446946,6.548134872,6.238147596,6.358419267
Cdr2l,0.763776312,2.05E-06,1.90E-04,7.125150237,7.198346131,7.189496789,7.014142753,7.165347934,6.719623215,6.675261819,6.61633355,6.769558939
Atp1a3,0.762551826,2.95E-05,0.001534726,6.988777464,6.979162133,7.121212349,6.719103664,7.20597964,6.667103969,6.466627394,6.471484756,6.566593992
St5,0.761998274,5.30E-05,0.00241716,6.805203296,6.652060986,6.957817872,6.816531649,6.729584426,6.444593076,6.444987576,6.401155331,6.108906869
Ogdhl,0.76175654,2.49E-05,0.001352806,7.103512572,7.484224582,7.456572172,6.987993208,7.07962885,6.86258999,6.640652034,6.653851188,6.700537871
Cysltr1,0.759332225,9.62E-05,0.003847178,8.489753753,7.649343475,8.578907927,7.740252234,7.311125631,7.388191854,6.942866621,7.265759613,7.07258726
Smim24,0.757261409,4.56E-06,3.52E-04,7.285362277,7.241964424,7.155847797,7.001143885,7.175636636,6.753156326,6.586256413,6.689961133,6.834214977
Pygl,0.750350007,9.08E-05,0.00368214,7.904073809,7.439387935,8.286982394,7.170968015,7.399472027,6.975298506,6.902711578,7.033890084,7.059884491
Slc4a11,0.749537655,9.55E-06,6.51E-04,7.294702872,7.294364196,7.023465455,7.236851521,7.24527785,6.877334781,6.875093265,6.635277104,6.566593992
Usp11,0.746381256,9.74E-10,2.88E-07,9.274567162,8.96220434,9.35755591,8.980936144,9.048047657,8.468405502,8.427567419,8.584107035,8.313506383
Emp1,0.736003896,1.27E-04,0.004841361,9.053682181,8.40548122,9.171393126,8.561171613,8.034038823,8.340401029,7.538227406,7.660049536,7.401575374
Dnajc6,0.735822741,1.11E-04,0.004326525,7.546586619,7.044340574,7.706509044,7.319456786,7.07962885,7.001765148,6.69211499,6.83805573,6.480291965
Reck,0.734781192,2.71E-10,8.78E-08,8.977987807,8.853579665,8.813861401,8.963250761,8.674538072,8.120352282,8.173945067,8.413501721,8.165329956
Tec,0.732015415,6.25E-08,1.08E-05,9.47907371,9.265137023,9.502154487,9.004179171,9.063239169,8.753632549,8.456246111,8.615103414,8.442949836
Lpin1,0.72981235,2.66E-06,2.32E-04,10.75457621,10.36279091,10.44697458,10.24430621,9.752817757,9.737503927,9.492364359,9.557060224,9.250592295
Eng,0.725565444,1.08E-04,0.004243459,9.920505594,9.144233237,9.844194246,8.921107086,8.691011497,8.797689474,8.143788667,8.544373338,8.223423562
Galnt11,0.725041178,NA,NA,9.9789355,9.906408709,10.03768604,10.01762688,8.837126803,8.791000265,9.073327113,9.171702278,8.581531214
Cpne7,0.724117092,NA,NA,6.446318335,6.295280764,6.733059057,6.420857192,6.465819856,5.974264508,6.121934527,6.174293099,6.027133166
Hpse,0.723006625,3.04E-06,2.52E-04,8.770489081,8.478940572,8.83340147,8.407086174,8.261228405,8.152510919,7.724328064,7.943583885,7.752495455
2700081O15Rik,0.72200324,2.07E-06,1.90E-04,8.004687603,7.717307302,7.878241678,7.84387414,7.780243323,7.310153363,7.455556022,7.405052513,6.98054368
Mpzl2,0.720086438,2.05E-04,0.00693093,6.87440401,6.688121161,7.189496789,6.55209742,6.257064992,6.203875162,6.246676517,6.267952019,6.027133166
Sipa1l2,0.718655175,6.73E-06,4.87E-04,7.435280798,7.50172501,7.335171421,7.619943961,7.215925223,6.988609926,7.043348779,6.806940785,6.938666692
Dennd2c,0.718518324,4.84E-11,1.99E-08,9.471506917,9.387719585,9.442265371,9.164782825,9.277913796,8.770740521,8.744764515,8.753673071,8.486412317
Ptpn14,0.716970094,8.90E-05,0.003635469,8.577881496,7.908853818,8.370401219,8.080928517,7.589200499,7.628610682,7.394297675,7.55570731,7.157817164
Itga2,0.716186608,2.09E-04,0.007033461,7.000785985,6.705664697,6.782026449,6.93378291,6.759855072,6.421260191,6.2176536,6.653851188,6.145775443
Mst1,0.716004994,1.28E-04,0.004850473,6.847264203,6.965660376,6.749645064,6.666604299,7.010897783,6.552552764,6.50832864,6.238147596,6.409372874
Srpr,0.715223504,1.84E-14,1.92E-11,12.02722875,12.01122417,12.13337335,12.06263038,11.87342077,11.41130047,11.24055301,11.39095698,11.06638498
Scn4b,0.714707227,NA,NA,6.467013222,6.399726254,6.765964026,6.292717774,6.171718376,5.974264508,6.00750937,5.925560861,6.069543045
Grb10,0.712373652,1.01E-04,0.003994947,7.3930306,6.992502687,7.305387956,7.148171395,7.022644581,6.948188752,6.708684261,6.515323102,6.545789776
Wee1,0.709869917,1.03E-08,2.26E-06,10.29876498,10.21498225,10.05567598,10.3438252,10.07336097,9.474876677,9.658128183,9.607524336,9.103631412
Ace,0.705178288,NA,NA,5.99647745,6.102301173,6.16934025,6.320118395,5.995842528,5.491007067,5.702805913,5.491007067,5.491007067
Arap3,0.70370158,3.15E-04,0.009734664,8.041881695,7.141482061,7.770921651,7.258034291,7.20597964,7.160299077,6.466627394,6.806940785,6.802389587
