Gene,logFC,PValue,FDR,cKO_1,cKO_2,cKO_3,cKO_4,cKO_5,FL_1,FL_2,FL_3,FL_4
Inpp5d,0.22465773,0.024938194,0.158042606,11.92089872,11.92679772,11.86027608,12.02753363,11.80477439,11.83078105,11.68125743,11.76706007,11.3776647
Btaf1,0.224555947,0.138372335,0.384561841,11.58292492,11.0298604,11.34016347,11.39158008,11.06403347,11.05628837,11.21425125,11.28378643,10.42887678
Flywch2,0.224551475,0.190124941,0.45345767,6.900874218,6.924139044,7.010638949,6.684417596,6.950247633,6.801471346,6.675261819,6.724790521,6.865107969
Tctex1d4,0.224366625,0.238399284,0.508824587,6.036518737,6.205852041,6.262349823,6.061500293,6.10775398,5.974264508,5.913474195,6.02223266,6.145775443
Gm26740,0.224309607,0.243379819,0.514736372,7.459966564,7.373807847,7.109436069,7.761634055,7.254905634,6.920396921,7.446985146,7.51321739,6.73564008
Bend3,0.224244246,0.110139051,0.344232498,9.39154866,9.128372905,9.257942262,9.13355294,8.782938679,9.089200355,8.903865584,9.055880551,8.624838946
mt-Co1,0.224155203,0.131004548,0.37472592,17.30693854,17.11812123,17.58298115,17.2755374,16.76530924,17.09682247,17.10492858,17.10097411,16.44545567
Tgif2,0.224151855,0.057745493,0.247721483,8.980666216,9.272363812,9.158588672,9.144039151,9.211399304,8.804347176,8.950307905,8.781187839,9.20755862
Utf1,0.224133419,0.226466008,0.494233547,7.285362277,7.392898101,7.411262008,7.089166447,7.165347934,7.36913767,6.888990744,6.689961133,7.301509782
Mtmr11,0.223779382,0.236403169,0.506534509,6.699822032,6.614595564,6.873523805,6.684417596,6.615681097,6.421260191,6.376438589,6.791028592,6.626324946
Zfp335,0.223721239,0.013542363,0.112234089,11.01015483,10.9431422,10.81401196,11.08646437,10.84287003,10.78761359,10.70611252,10.80811478,10.55283317
AC149090.1,0.223705539,0.049881643,0.230666556,11.63741532,11.75780834,11.55598724,11.73445138,11.91350934,11.24802299,11.36371804,11.76578293,11.51048784
Six5,0.223462386,NA,NA,7.6490093,7.273674259,7.285123193,7.014142753,7.07962885,7.077645042,7.168523329,7.211901834,6.994160047
Chsy1,0.223379825,0.201789061,0.466523129,11.73232782,11.05509861,11.73983482,10.98211814,10.77191839,11.51540285,10.81439211,10.94008493,10.63689346
Fbxw9,0.223320027,0.079989368,0.292591555,8.912141165,8.959213506,8.995216746,8.738748333,9.065755387,8.791000265,8.484347537,8.607418212,8.988520174
Hic1,0.223302871,0.044477547,0.216730431,10.66483748,10.4211515,10.37830721,10.3198708,10.27171192,10.30138702,10.19463211,10.29573339,9.938186396
Arhgef18,0.22325449,0.054152543,0.24099299,11.88553098,11.93021078,11.57431354,12.13068886,11.95924915,11.51087625,11.81792995,11.78608272,11.52029482
Patj,0.223183107,0.070879461,0.274632669,8.68409131,8.65289409,8.803989187,8.927204807,8.819293819,8.447157799,8.744764515,8.729149736,8.351736165
Gltscr1l,0.223158187,0.111524896,0.347159209,10.45135637,10.15911637,10.13460704,10.40147968,10.00065952,10.07449306,10.02991539,10.25621611,9.532550089
Sec16a,0.223156255,0.116459125,0.353457731,11.23442293,10.96550069,10.99178929,11.21252306,10.7077343,10.79259685,10.84214691,11.08234436,10.30762599
Mief1,0.223122551,0.016139022,0.124357337,10.53425844,10.43724799,10.55590426,10.38837829,10.38822094,10.29554444,10.3681069,10.25742969,10.01918451
Ampd3,0.223004941,0.195745386,0.459385202,7.737410515,7.88959679,7.420455455,8.146264224,7.996722593,7.397610943,7.837318175,7.833247308,7.520753632
Themis2,0.222935667,0.205188878,0.470118441,7.058988771,6.895558103,7.155847797,6.974686406,6.803642018,6.988609926,6.69211499,6.954181523,6.700537871
Nup210l,0.222850961,0.200260457,0.465048925,7.641955475,7.649343475,7.364253452,7.740252234,7.28333928,7.137272738,7.51398371,7.612931939,7.122048342
Ptprv,0.222797639,0.047548436,0.224721759,9.223599548,9.245684759,8.957201715,9.190294894,9.017168862,9.008143413,9.011781711,8.960122878,8.696638418
Zfp7,0.222750201,0.005948477,0.069614799,9.994826232,10.02486903,10.05842379,10.08282889,9.983550542,9.894351799,9.789342766,9.906033936,9.663543293
Ttpal,0.222715803,0.008376893,0.084955813,11.42406751,11.40399333,11.42446206,11.35671967,11.19195557,11.25164533,11.11853688,11.17572079,10.98967597
Mau2,0.222615286,0.069119197,0.271447034,11.40292093,11.44857983,11.25122819,11.54887791,11.36833278,11.18816248,11.35785677,11.31089726,10.72438158
Mau2,0.222615286,0.069119197,0.271447034,11.40292093,11.44857983,11.25122819,11.54887791,11.36833278,11.18816248,11.35785677,11.31089726,10.72438158
Ccdc77,0.222519807,0.062960971,0.259354632,9.649626519,9.715172645,9.678885693,9.821786375,9.542185938,9.303229073,9.564705779,9.717615725,9.210126272
Zfp239,0.22246297,0.124881355,0.365952689,8.584981375,8.436199031,8.794047551,8.463180747,8.27453124,8.408076941,8.320034378,8.495156129,7.993097667
Tapt1,0.222446841,0.040468025,0.20679229,11.58292492,11.65520852,11.64400578,11.69601441,11.49426742,11.28443277,11.5150229,11.59363673,11.07271382
Acly,0.222427999,0.044917422,0.217640404,13.50931287,13.44768811,13.52657833,13.44741683,13.12517156,13.3272611,13.15380103,13.29392438,12.89186913
Serinc5,0.222352044,0.100232719,0.328430689,8.801192347,8.784166381,8.977797728,9.074456323,8.751911446,8.538323406,8.86194164,8.857433972,8.370463459
Hormad2,0.222123578,NA,NA,5.99647745,6.349276525,6.797842163,6.26424524,6.171718376,6.264583821,5.913474195,5.976399088,6.384304705
Smurf1,0.222113207,0.029920909,0.175011848,10.11599789,10.06688973,9.995290767,10.05406095,9.906031888,9.881916092,9.905173484,9.895150255,9.526395014
Car5b,0.222085024,0.235080403,0.504990282,7.217887931,6.979162133,7.155847797,6.919804085,6.803642018,7.160299077,6.586256413,6.897674687,6.73564008
Atrn,0.222006994,0.100324912,0.328430689,9.996142562,9.751735624,9.877269763,9.935868222,9.549370957,9.551584592,9.787754628,9.776443608,9.204986337
Pask,0.221815561,0.067704326,0.268919054,10.16479028,10.38176934,10.2254063,10.52033422,10.38020452,9.943045152,10.25557625,10.33419439,9.845779931
Cbx5,0.221646645,0.041627366,0.209663866,13.42341898,13.20037424,13.26622681,13.39371718,13.15803375,12.94971514,13.17167516,13.26649792,12.77063905
Mt2,0.221640711,NA,NA,8.723145054,7.952743673,9.547933105,7.530266957,7.817813003,8.501743699,7.438355706,7.451250105,8.023357144
Arvcf,0.221629598,0.138123691,0.38439159,7.546586619,7.294364196,7.232935418,7.278853589,7.382298114,7.330129372,7.168523329,7.189664793,7.122048342
Btnl9,0.22151061,0.233184237,0.502902889,6.07369536,6.021380716,6.344464481,5.9234539,6.171718376,5.923646332,6.048404186,6.02223266,5.980885137
Phf2,0.221384087,0.066138262,0.266118449,11.83502632,11.84397265,11.58719477,11.92702747,11.64266835,11.41722565,11.68934129,11.75380808,11.2015045
Pdpr,0.221372337,0.25209011,0.52478578,9.656310659,9.253010464,9.401623096,9.526657362,8.831207416,8.679423835,9.236458461,9.471587819,7.588918287
Tldc1,0.22134284,0.025408887,0.159381235,8.447428869,8.552729515,8.547565758,8.615320788,8.574990159,8.376904201,8.402507296,8.431093647,8.238851132
Dennd5a,0.221232932,0.094749557,0.319637895,11.4744376,11.48100836,11.59146307,11.6755071,11.37640845,11.34333271,11.38745091,11.51675901,10.74654819
Ncam2,0.221227654,0.164002576,0.420836799,6.91387054,6.236962218,6.888034587,6.019666398,5.903899169,6.467291762,6.246676517,6.064264584,5.710928216
Gm11870,0.22122593,0.248431454,0.520527025,6.403316082,6.102301173,6.290755957,6.136705723,6.201401631,5.974264508,6.327209153,6.064264584,5.980885137
Whrn,0.221215046,0.082961155,0.298375509,8.574318042,8.280202457,8.193107534,8.353221698,8.247796274,8.109462764,8.227570609,8.269047414,7.974612455
Atl3,0.220910738,0.10570203,0.337610994,12.20676936,11.98484368,12.14438899,12.17962572,11.82224472,11.71574628,12.03812764,12.07989674,11.34085385
Aff1,0.220747111,0.104029548,0.334705904,11.13948943,10.92728228,10.86585167,11.06742341,10.71093247,10.62110746,10.9078231,10.93706122,10.25660767
Ccdc15,0.220705288,0.183121787,0.445201341,7.904073809,7.767842838,7.691757214,7.921343738,7.74810175,7.522580799,7.724328064,7.937338194,7.192535439
Cd8a,0.220681778,0.192934264,0.456745057,11.06002503,10.63440316,11.50410335,11.29492519,10.95634342,10.4675086,10.74828817,11.41831202,10.50369051
Slc25a53,0.220653334,0.128001782,0.370940599,8.512311047,8.392106244,8.555467216,8.325485793,8.012840986,8.345016726,8.19857954,8.193340546,7.930471491
Wdtc1,0.220617871,0.003188465,0.047607778,10.75922946,10.59859968,10.55103904,10.67575477,10.77191839,10.45288808,10.47346073,10.45650303,10.44957078
Ccdc116,0.220512255,0.080400296,0.2933058,8.606068085,8.595981665,8.767189427,8.393814283,8.428895715,8.514043444,8.203453951,8.474126744,8.269198504
Twsg1,0.220471057,0.079799133,0.292374374,11.12454418,10.86044729,11.09963074,10.87119318,10.49692858,10.74967943,10.70946541,10.74380641,10.45819583
Cbx2,0.220457904,0.00917796,0.090134968,10.02737811,10.18350691,9.989542384,10.24430621,10.09802319,9.91890479,9.916839904,9.948762314,9.807423522
Plcd3,0.220341129,0.230210198,0.498829145,6.202286357,6.322764394,6.16934025,6.061500293,5.903899169,6.136990458,5.79026811,6.064264584,5.980885137
Ick,0.22032507,0.073383048,0.280237366,8.926113525,8.801005039,8.790718072,8.86818926,8.592664548,8.612548096,8.799811094,8.603559788,8.347014632
Klc2,0.220306297,0.014804137,0.118162115,9.263641044,9.255444033,9.231302689,9.39707426,9.453029997,9.05621799,9.152279631,9.192248846,9.08414772
Gm23547,0.220274686,0.247281584,0.519467028,6.230721361,6.021380716,6.060086965,6.136705723,6.308626481,5.923646332,6.00750937,6.02223266,6.180550254
E130317F20Rik,0.220268153,0.156371775,0.410956203,7.217887931,7.209400119,7.036148589,7.424693761,7.215925223,7.18288579,7.055303801,7.046644896,7.047039627
Cdc42se2,0.220101454,0.007416364,0.079266815,12.3306708,12.43002009,12.33659054,12.60455086,12.47586262,12.15373258,12.24132328,12.31487545,12.13195892
Dzip1,0.220017264,0.016429779,0.125672102,9.57220034,9.612853328,9.429555286,9.645480834,9.588257017,9.298544986,9.474681896,9.439781422,9.235551722
Vsig10l,0.22001387,0.206589556,0.471808222,6.887720288,6.772912657,6.843898413,6.736003471,6.974904198,6.817087323,6.817618838,6.597001032,6.626324946
Gm19585,0.219927835,0.260598012,0.534551117,9.690900152,9.265137023,10.02790507,8.989696912,8.596172879,9.655804125,8.734823659,8.760602185,8.561395385
Ndst1,0.219840566,NA,NA,10.85507853,10.66022662,10.65535873,10.91446298,10.43637075,10.38849038,10.7685201,10.76868496,9.351660263
Atp2a2,0.219801206,0.05286112,0.237421149,13.34593419,13.19107958,13.35925811,13.24010601,13.01603753,13.17841461,13.0039339,13.09948726,12.64701967
Arfgef3,0.219696824,0.261824284,0.535902102,7.756994356,6.979162133,7.64647847,7.21529037,6.925028591,7.052907531,7.189915182,7.487028929,6.480291965
Zfp866,0.219583226,0.076672498,0.286435744,9.584522584,9.492400073,9.60740717,9.703159648,9.475844952,9.218952444,9.601361681,9.496533582,9.041476246
Prcp,0.219560234,0.031878643,0.181098391,9.147136296,9.230919542,9.31208662,9.109672802,9.088203304,9.013884371,9.142334827,8.901910605,8.836808615
Mast2,0.219540196,0.027929992,0.169121945,11.17415778,11.14533863,10.96132151,11.35167009,11.27043392,10.8123593,11.03750908,11.0878073,10.88566993
Top3b,0.219447447,0.011891603,0.104880549,10.8383189,10.82011535,10.78696185,10.99872658,10.90352096,10.69483549,10.67729345,10.75844244,10.45819583
Alg2,0.219168573,0.046785549,0.222632424,9.740483009,9.548950285,9.590393344,9.536613835,9.364078869,9.460286737,9.322557767,9.461064045,9.131010676
Gnaz,0.219068944,0.173841698,0.433635396,6.425098339,5.867087588,6.290755957,5.797363301,5.903899169,6.061752769,5.857199134,5.925560861,5.801722886
Icosl,0.219059079,0.095605301,0.320698119,8.903691174,8.837358981,8.80728759,8.649060252,8.761291402,8.900626879,8.350991567,8.618930311,8.434092575
Hs6st1,0.219045338,0.008330362,0.084560321,9.317454224,9.463264628,9.397276999,9.350379732,9.335237181,9.116113502,9.224732893,9.249722785,9.100864304
Cacnb4,0.219044036,0.261459567,0.535680945,6.526262631,6.374905325,6.36995801,6.17101591,6.072965859,6.234902932,6.155486532,6.267952019,6.108906869
Mapk8ip3,0.218925195,0.050630171,0.232468035,11.66204592,11.6547501,11.30882112,11.62711047,11.47981699,11.19444985,11.48893361,11.46785196,11.0866792
Mlkl,0.218876342,0.034128787,0.187082426,10.21875958,10.01058464,10.39578357,10.03174948,10.03043911,10.01597118,9.846901769,9.947257984,9.897496261
Tle4,0.218741756,0.00443171,0.057786439,10.41051187,10.4286856,10.37830721,10.54513719,10.40115316,10.1042223,10.29407253,10.28148872,10.19728513
a,0.218713157,0.259304966,0.532722196,7.285362277,7.031601476,7.465442261,6.785072997,6.950247633,7.310153363,6.708684261,6.653851188,6.966759417
Gm26664,0.21858624,0.258058529,0.531396755,6.617041667,6.266721519,6.344464481,6.591846604,6.562361423,6.397243442,6.352216509,6.376297745,6.358419267
A930035D04Rik,0.218451073,NA,NA,6.380929746,6.138788247,6.16934025,6.061500293,6.035834653,6.203875162,5.962922352,6.064264584,5.871189572
Gfpt1,0.218224362,0.105051367,0.336085295,11.15428132,10.75912612,11.00251642,10.78970847,10.50063019,10.6796715,10.67643704,10.78475483,10.28477007
Pcdhga12,0.217821732,0.221963977,0.488390972,6.036518737,5.867087588,6.13511179,5.974049955,6.10775398,5.79750013,6.00750937,5.86769505,5.929584598
Ticrr,0.21770397,0.102933933,0.33251817,11.50890835,11.43529466,11.31457064,11.51213872,11.13358861,11.04589389,11.35357901,11.37875437,10.70186857
Hsph1,0.217356611,0.013435624,0.111603964,11.90664593,11.74709675,11.99238187,11.68624294,11.93416938,11.71268381,11.54252874,11.70133035,11.57332043
Acsl1,0.217324601,0.037127726,0.196403306,9.043478176,9.167697501,9.051784525,9.278534791,9.050590872,8.955403081,8.961684755,9.03039817,8.725808041
Klhl42,0.217283586,0.055774089,0.244312169,10.00923997,9.9110318,9.926249797,10.01478563,9.649696969,9.711370607,9.817632799,9.779830097,9.424134765
Fah,0.217037379,0.046709144,0.222502403,8.470673986,8.491512121,8.654332718,8.446159871,8.436771089,8.376904201,8.163966341,8.298205358,8.429642763
Cd44,0.217029026,0.042035992,0.210734379,11.53581333,11.44274943,11.66170456,11.3893916,11.21070944,11.4188374,11.11979701,11.23846071,11.11216381
Arl5b,0.216870369,0.174030452,0.433784507,9.11097593,8.875980863,8.777321152,8.902654988,8.60664559,8.593392681,8.843587237,8.895641645,8.099020138
Dennd6a,0.216796048,0.033918366,0.18654845,10.0767313,9.974239879,9.921728218,9.876049624,9.90463387,9.839132298,9.790929148,9.8362106,9.461193264
Tmem151b,0.216784064,0.239506009,0.510435672,6.563663201,6.469953017,6.627242423,6.648457673,6.682388533,6.444593076,6.422772299,6.57725826,6.502672288
Wsb1,0.216639823,0.01260079,0.107644943,11.76121005,11.69231193,11.79392378,11.64693926,11.44520537,11.50025859,11.44286501,11.49071003,11.36683422
Ppif,0.216584068,0.028907696,0.172156166,10.99116429,11.14141658,11.07950902,10.96751878,11.07833938,10.89035558,10.59810197,10.75243383,11.04508587
Fcgr3,0.216553004,0.262172514,0.536091743,6.776189844,6.469953017,6.627242423,6.292717774,6.308626481,6.667103969,6.376438589,6.139823135,6.069543045
N4bp2,0.216510373,0.09784896,0.324680145,11.10944236,10.69989355,10.79026783,10.82900892,10.5753666,10.55615821,10.71113893,10.76953523,10.20627694
Galnt1,0.216340754,0.026926542,0.165465702,12.19193971,12.15978956,12.33800231,12.23550861,12.12266496,12.02915106,12.11468002,12.0654373,11.69086779
Ighm,0.216305884,0.031639577,0.18049423,14.30779418,14.25283856,14.45659238,14.15637133,14.26016964,14.30688356,13.8720293,14.05634293,13.96089683
Tmem140,0.216225317,0.156850937,0.411491657,7.710838258,7.569425996,7.654134658,7.789616473,7.996722593,7.443673554,7.751793587,7.705527026,7.391923691
Gm7389,0.216158318,0.260873959,0.534964692,7.275949692,7.093927655,7.109436069,7.182203996,6.744833021,6.801471346,7.031267301,7.222867507,6.480291965
Snora24,0.216037142,0.159392312,0.414877597,7.340368343,7.364151894,7.354635073,7.182203996,7.185837004,7.21598281,6.994231176,7.046644896,7.301509782
Mboat2,0.216032803,0.253584168,0.526124285,7.125150237,6.575575196,7.254080676,6.396850185,6.171718376,6.702425783,6.399938782,6.707528708,6.384304705
A830010M20Rik,0.215956998,0.087007562,0.305921107,8.703753437,8.784166381,8.77057475,8.896450526,8.68115058,8.476814892,8.687483417,8.79136926,8.279168001
Mob1a,0.215928701,0.050093216,0.231314295,13.17419373,13.08110184,13.22821114,13.23051284,12.91919239,12.89770028,13.02711191,13.04981458,12.56488005
B230354K17Rik,0.215713242,0.13756767,0.383684415,9.209998686,8.735921398,9.137859155,8.930243865,8.684445228,8.850093679,8.649138444,8.954106547,8.469189269
Plp1,0.215684183,0.209431589,0.474483219,6.776189844,7.005686575,6.782026449,6.905644133,6.803642018,6.630446946,6.846745409,6.741759655,6.700537871
Socs7,0.215679388,0.044022835,0.215441005,10.81318115,10.68199842,10.67248176,10.78054911,10.64891879,10.4370567,10.70106852,10.60968308,10.19857312
Pgap1,0.215649592,0.135876758,0.381723592,8.286069314,8.126240491,8.041911007,8.320808762,8.049723147,7.87757651,8.070729994,8.234233866,7.700206291
Pbrm1,0.21564441,0.126155333,0.367784037,12.39359008,12.10010036,12.1379194,12.42260075,11.85186527,11.8420358,12.14159617,12.19190113,11.5130751
Hps3,0.215621739,0.059631749,0.2518554,10.17179378,9.988888268,10.03350234,10.05958512,9.924083375,9.785048048,9.982143203,9.972619831,9.488898362
Hps3,0.215621739,0.059631749,0.2518554,10.17179378,9.988888268,10.03350234,10.05958512,9.924083375,9.785048048,9.982143203,9.972619831,9.488898362
4833407H14Rik,0.215613309,0.270456045,0.545241953,6.334148822,6.322764394,6.16934025,6.17101591,6.423952741,6.293068213,6.2176536,6.02223266,6.145775443
Rfx3,0.215299503,0.152558185,0.406457632,8.754883516,8.401037154,8.17250257,8.428928826,8.188029976,8.147203251,8.448112167,8.16715126,8.035274673
Klf3,0.215289364,0.217814119,0.485061736,9.55620011,9.531015825,9.1404669,10.03174948,9.654700048,9.033797035,9.659866418,9.701631244,8.789315069
Gatad2b,0.215278062,NA,NA,9.974935208,9.768824424,9.783997363,9.999057556,9.349730785,9.441306971,9.912476093,9.801649627,8.499191764
Spef2,0.215206072,0.152128142,0.406108056,7.410101769,7.518988535,7.728331124,7.563602595,7.416413454,7.488113951,7.464069216,7.376494537,7.146014586
Elmo2,0.21514116,0.040424014,0.206699287,11.59511673,11.48255914,11.47513597,11.67505803,11.50443543,11.52391452,11.29510933,11.40524635,11.01910441
Cd53,0.215058096,0.141039206,0.388679474,13.77907115,13.48735431,13.93284447,13.35975685,13.09338122,13.62249071,13.20543822,13.14848656,13.18964786
Ube3a,0.215050157,0.180173067,0.441823604,11.23219393,10.69186824,10.9910713,10.98356997,10.47733744,10.67518095,10.8383239,10.8799468,10.00452523
Ube3a,0.215050157,0.180173067,0.441823604,11.23219393,10.69186824,10.9910713,10.98356997,10.47733744,10.67518095,10.8383239,10.8799468,10.00452523
B3galnt1,0.214984525,0.193295899,0.457107324,7.663003601,7.863483289,7.500315399,7.789616473,7.254905634,7.636418197,7.329881624,7.442145142,7.411153222
Vwa7,0.214973869,0.252769501,0.525395875,6.403316082,6.138788247,6.262349823,6.019666398,6.140576422,6.061752769,5.79026811,6.174293099,6.180550254
Ythdc2,0.214855637,0.15757195,0.412190522,10.02351059,9.720453327,9.903498215,9.80213422,9.445343454,9.547648156,9.779787474,9.75423446,9.018183492
Crebrf,0.214829578,0.143873469,0.392749734,9.917729221,9.709872451,9.787316601,9.87917861,9.621011569,9.340158843,9.989065797,9.603704956,9.144505415
Edrf1,0.214768429,0.00127786,0.026610219,10.21537457,10.15911637,10.17440577,10.20248779,10.21310738,9.921944613,10.0245354,10.04893288,9.958107275
Rnf26,0.214715153,0.029354315,0.173823168,10.28376231,10.3367093,10.1552858,10.51933316,10.47169066,10.1228258,10.0630917,10.10260845,10.28355701
Kif5c,0.214695074,0.097991598,0.324936949,8.015418789,7.788923774,7.845621884,7.896014144,8.060079891,7.644179189,7.911677339,7.798985131,7.669365908
Fbxo27,0.214603036,0.167811644,0.425552189,6.07369536,6.374905325,6.232750909,6.061500293,5.783462291,6.019900785,5.491007067,6.139823135,5.710928216
Slc17a5,0.21452107,0.162900384,0.419115631,7.944096905,7.724646214,7.928837992,8.1621227,7.681370566,7.596902907,7.778700202,7.937338194,7.538136664
Rell1,0.214368299,0.028816853,0.171965423,9.866814332,9.856146987,9.729818082,10.00622802,9.732462806,9.749538456,9.573958048,9.715848443,9.48467079
Polr3b,0.214294614,0.003764123,0.051971644,11.27125533,11.18461861,11.21970801,11.29784528,11.25025015,11.04589389,11.05605927,11.13474507,10.87685516
1700001O22Rik,0.214271677,0.180742233,0.442182833,7.024425994,7.16455597,7.189496789,7.052268789,6.925028591,6.891879941,6.968845143,6.853275403,7.047039627
Itga3,0.214179078,0.110832492,0.345649761,7.676849679,7.625880449,7.85220976,7.68147836,7.521316066,7.556143659,7.615891581,7.432974001,7.467137813
Pfkfb4,0.214154519,0.137316721,0.383629296,7.826423807,7.94034882,7.805396893,7.988642325,7.653698408,7.903275512,7.577643391,7.712955736,7.485261829
Serpinf1,0.214133147,NA,NA,6.425098339,6.295280764,6.681582082,6.17101591,6.283306607,6.421260191,6.155486532,6.103279532,6.303878464
Vps13d,0.214030835,0.138872386,0.385205884,10.91676698,10.67568223,10.59708033,10.82496478,10.58149585,10.34616286,10.69685164,10.79146784,9.956584668
D430042O09Rik,0.21402941,0.120321194,0.359010146,9.130375644,8.913577569,8.874834851,9.182689103,8.851817846,8.601086224,8.93017625,9.044611391,8.516051425
Rnf10,0.213944048,0.00348649,0.049598601,13.0037474,13.00510992,12.9159703,12.87683781,13.06571946,12.88609797,12.67876421,12.71250288,12.73695597
Crybg3,0.213928816,0.151998166,0.405885542,9.510793659,9.07419167,9.582766312,9.125637306,9.065755387,9.17359082,9.119701867,9.237423934,8.674358025
Gm12735,0.213892124,0.209435497,0.474483219,6.108525823,6.138788247,5.972848937,5.974049955,5.952244695,5.79750013,6.00750937,6.02223266,5.491007067
Gm16201,0.213844583,0.271822257,0.546861346,6.545157311,6.322764394,6.716194756,6.203562058,6.10775398,6.293068213,6.2176536,6.296554337,6.27502863
Fam65a,0.213827879,0.086398433,0.304962027,9.917729221,9.884635322,9.508209267,9.929846369,9.743459034,9.545675874,9.680562519,9.78152035,9.302020172
Nipal4,0.213784294,0.274862415,0.550543064,6.334148822,6.205852041,6.36995801,6.136705723,6.229802738,6.203875162,6.086369202,6.174293099,6.145775443
Man1c1,0.213754326,0.200329283,0.465048925,7.724191361,7.175926356,7.699153837,7.358762973,7.347223236,7.443673554,7.301213392,7.244503704,7.269833501
Flna,0.213747711,0.095812552,0.32118578,14.6229804,14.62635137,14.27763622,14.83624554,14.55437505,14.35284337,14.48180567,14.55364961,13.94652037
Cggbp1,0.21358494,0.006011227,0.069874087,12.02014204,11.87263852,11.95422585,11.97524083,11.77721293,11.71268381,11.75850985,11.75895234,11.58320316
Zzef1,0.213546712,0.073482825,0.280413001,11.31719423,11.07168187,11.03909757,11.26061275,10.92639663,10.85029284,10.96082454,11.14067054,10.60521517
Aoc2,0.213511822,0.028473532,0.1709669,9.022847804,8.953212863,8.830163478,8.927204807,8.834170205,8.631445875,8.79025154,8.828086032,8.651719423
Cds2,0.213470738,0.059589887,0.251762182,12.91935537,12.83165865,12.69582141,12.93481087,12.79594287,12.55030408,12.81136402,12.75474002,12.24084255
Heatr6,0.21345795,0.033322609,0.184672978,10.5910549,10.48860982,10.43434647,10.53229297,10.46222986,10.29671486,10.37022776,10.4459004,10.00009814
Rnasel,0.213432933,0.068464077,0.270080883,10.88163723,10.806967,10.86819983,11.07697533,10.81713464,10.59756815,10.82138109,10.86967519,10.32069432
Gpam,0.21332759,NA,NA,8.633700211,8.436199031,8.661657356,8.596220652,8.309392607,8.34961713,8.538911004,8.584107035,7.362512532
Haus2,0.213173846,0.047564876,0.224721759,10.6040487,10.47516078,10.64077976,10.42626219,10.15436677,10.2885019,10.22776862,10.33304389,10.15677439
Plcb2,0.212938152,0.026340844,0.163056656,10.1184168,9.831967199,9.927753833,9.990405498,9.870666597,9.735776439,9.860560484,9.786579198,9.582839065
Phf8,0.212865644,0.093777645,0.318316191,10.78379608,10.67477765,10.75008648,10.86726588,10.50340017,10.49732976,10.61697322,10.71054275,10.06511409
Slfn9,0.212725917,0.23625828,0.506534509,9.814027644,9.429224004,9.701941371,9.643640447,9.200005679,9.181252027,9.597738002,9.701631244,8.420700309
Rpp25,0.212718347,0.162783961,0.418976781,7.862822537,7.64156932,7.928837992,7.547042877,7.786579154,7.704661913,7.438355706,7.405052513,7.788617415
Bbc3,0.212629229,0.127436199,0.369774335,10.6014593,10.39611528,9.930757189,10.25276703,10.49970568,10.29437307,9.975187098,9.853987291,10.31239185
Nupl1,0.212600979,0.083805759,0.300094344,11.267995,11.14207099,11.22154534,11.23828929,10.88806625,11.01140653,11.06459137,11.04982456,10.52231609
Ypel4,0.212560357,0.267167971,0.541825888,6.487216191,6.374905325,6.464510319,6.44418066,6.379834956,6.372486226,6.274532675,6.267952019,6.384304705
Hic2,0.212452115,0.172057347,0.43126936,7.78266335,7.544454834,7.784819344,7.711193481,7.481988435,7.612853612,7.569856102,7.604910325,7.169503083
Gapdh,0.212314344,0.078840028,0.290575712,9.603674521,9.578350896,9.459038392,9.363877396,9.136855218,9.30088895,9.033492291,9.355889896,9.215247748
C1ra,0.212234092,0.268741513,0.543154196,6.284288629,6.173205179,6.394648605,6.17101591,6.10775398,6.061752769,6.121934527,5.86769505,6.303878464
Zfp947,0.212182781,0.159167617,0.414681944,7.30397272,7.198346131,7.392670352,7.309431347,7.195950777,7.040335828,7.200468789,7.020990772,7.291042001
Rrm2,0.212178898,0.001664461,0.031421892,13.60207431,13.70375,13.65264052,13.75680121,13.65998301,13.55948805,13.34836246,13.47386866,13.44531943
Gm15853,0.212094385,0.271865737,0.546867923,6.526262631,6.295280764,6.394648605,6.420857192,6.40219548,6.293068213,6.274532675,6.267952019,6.384304705
Dleu7,0.212064716,0.242354235,0.513675052,6.651011549,6.804942959,6.858814022,6.531550318,6.666139738,6.592317481,6.528454511,6.653851188,6.586934373
Tmem94,0.212032993,0.04755967,0.224721759,10.90211666,10.82256736,10.54223999,10.96237387,10.82895645,10.56589523,10.71197496,10.70521967,10.39333692
2310058D17Rik,0.212031097,0.165414205,0.422307713,7.349301949,7.252626753,7.500315399,7.349052905,7.123272885,7.101863681,7.135693288,7.167005207,7.301509782
Ttll1,0.211990105,0.038952506,0.202428004,8.403780078,8.40548122,8.444839361,8.549291258,8.471670404,8.376904201,8.315554988,8.278835158,8.143581152
1500009L16Rik,0.211979568,0.072573747,0.278185728,11.22996147,11.16221196,11.27442416,11.03838188,11.15546076,10.85268056,10.79321944,10.7575856,11.31558297
Rps6kc1,0.211905757,0.02740781,0.167300813,8.773589607,8.732411401,8.750139989,8.735268259,8.677848207,8.627686589,8.595106075,8.591920506,8.384345219
Osbpl11,0.211872299,0.024636512,0.15686169,10.29342482,10.24700209,10.13980467,10.21243734,10.09802319,9.971194755,10.00007305,10.16990594,9.8023441
Gm4673,0.211718312,0.252300773,0.525063584,6.964366962,6.804942959,6.716194756,6.719103664,6.774658828,6.667103969,6.91626114,6.57725826,6.457312602
